stream_path,line_id,speech_ratio,keep_spans,dropped
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s00800/wav/english/windows/sq_cs05_s00800_voice_track.english.core.stream,sq_cs05_s00800#track0,0.588,6.38:30.486,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00500/wav/english/windows/sq_cs02_s00500_voice_track.english.core.stream,sq_cs02_s00500#track0,0.4156,11.088:34.688;38.966:42.062,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c003/wav/english/windows/sq_cs80_s00100_c003_voice_track.english.core.stream,sq_cs80_s00100_c003#track0,0.5865,4.035:27.313;33.077:44.104,0
ds/sounds/wwise_cinematics_sound_resource/cs07/sq_cs07_s00100/wav/english/windows/sq_cs07_s00100_voice_track.english.core.stream,sq_cs07_s00100#track0,0.679,18.581:45.64;48.45:75.576;81.12:108.55;114.735:144.004;145.953:168.372,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00208/wav/english/windows/sq_cs77_s00208_voice_track.english.core.stream,sq_cs77_s00208#track0,0.2787,1.132:8.312,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00800/wav/english/windows/sq_cs01_s00800_voice_track.english.core.stream,sq_cs01_s00800#track0,0.3562,15.763:45.589,0
ds/sounds/wwise_cinematics_sound_resource/cs77/sq_cs77_s00207/wav/english/windows/sq_cs77_s00207_voice_track.english.core.stream,sq_cs77_s00207#track0,0.4052,1.368:12.143,0
ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00750/wav/english/windows/sq_cs01_s00750_voice_track.english.core.stream,sq_cs01_s00750#track0,0.1516,4.271:7.063,0
ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00700/wav/english/windows/sq_cs02_s00700_voice_track.english.core.stream,sq_cs02_s00700#track0,0.5459,16.455:43.632,0
ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01000/wav/english/windows/sq_cs03_s01000_voice_track.english.core.stream,sq_cs03_s01000#track0,0.0,,1
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00700/wav/english/windows/sq_cs04_s00700_voice_track.english.core.stream,sq_cs04_s00700#track0,0.0562,24.268:26.807,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01100/wav/english/windows/sq_cs04_s01100_voice_track.english.core.stream,sq_cs04_s01100#track0,0.4492,2.313:19.652,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01400/wav/english/windows/sq_cs05_s01400_voice_track.english.core.stream,sq_cs05_s01400#track0,0.4856,1.098:17.61;29.955:35.92,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00200/wav/english/windows/sq_cs08_s00200_voice_track.english.core.stream,sq_cs08_s00200#track0,0.7575,0.0:17.695,0
ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01080/wav/english/windows/sq_cs08_s01080_voice_track.english.core.stream,sq_cs08_s01080#track0,0.5039,10.194:39.632,0
ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c004/wav/english/windows/sq_cs80_s00100_c004_voice_track.english.core.stream,sq_cs80_s00100_c004#track0,0.5192,2.482:29.642;41.379:44.442,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00800/wav/english/windows/sq_cs04_s00800_voice_track.english.core.stream,sq_cs04_s00800#track0,0.6765,61.275:67.105;94.653:125.273;130.226:156.171;163.605:191.49;193.659:216.381;226.397:253.523;255.337:279.78;280.295:307.455;311.632:337.83;352.824:383.477;385.038:413.16;415.346:434.49;462.478:489.132;495.84:525.548;528.915:545.376;559.998:619.474;620.462:642.272;645.977:668.209;676.402:706.11;719.096:726.748,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01470/wav/english/windows/sq_cs05_s01470_voice_track.english.core.stream,sq_cs05_s01470#track0,0.8794,0.0:82.461;85.524:97.092,0
ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00750/wav/english/windows/sq_cs04_s00750_voice_track.english.core.stream,sq_cs04_s00750#track0,0.7336,6.65:62.616;66.624:80.655,0
ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01450/wav/english/windows/sq_cs05_s01450_voice_track.english.core.stream,sq_cs05_s01450#track0,0.8095,41.497:71.34;72.345:98.83;100.475:188.149;189.845:219.537;220.895:308.586;309.894:336.43;338.143:359.717,0
ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c104/wav/english/windows/sq_cs71_s00270_c104_voice_track.english.core.stream,sq_cs71_s00270#track0,0.4462,0.98:3.418,0
