scene,status,track_index,voice_track_stream
sq_cs01_s00750,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs01/sq_cs01_s00750/wav/english/windows/sq_cs01_s00750_voice_track.english.core.stream
sq_cs02_s00700,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs02/sq_cs02_s00700/wav/english/windows/sq_cs02_s00700_voice_track.english.core.stream
sq_cs03_s01000,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs03/sq_cs03_s01000/wav/english/windows/sq_cs03_s01000_voice_track.english.core.stream
sq_cs04_s00700,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00700/wav/english/windows/sq_cs04_s00700_voice_track.english.core.stream
sq_cs04_s01100,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s01100/wav/english/windows/sq_cs04_s01100_voice_track.english.core.stream
sq_cs05_s01400,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01400/wav/english/windows/sq_cs05_s01400_voice_track.english.core.stream
sq_cs08_s00150,no_voice_track,,
sq_cs08_s00200,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s00200/wav/english/windows/sq_cs08_s00200_voice_track.english.core.stream
sq_cs08_s01080,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs08/sq_cs08_s01080/wav/english/windows/sq_cs08_s01080_voice_track.english.core.stream
sq_cs80_s00100_c004,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs80/sq_cs80_s00100/c004/wav/english/windows/sq_cs80_s00100_c004_voice_track.english.core.stream
sq_cs04_s00800,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00800/wav/english/windows/sq_cs04_s00800_voice_track.english.core.stream
sq_cs05_s01470,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01470/wav/english/windows/sq_cs05_s01470_voice_track.english.core.stream
sq_cs04_s00750,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs04/sq_cs04_s00750/wav/english/windows/sq_cs04_s00750_voice_track.english.core.stream
sq_cs05_s01450,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs05/sq_cs05_s01450/wav/english/windows/sq_cs05_s01450_voice_track.english.core.stream
sq_cs71_s00270,resolved,0,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c104/wav/english/windows/sq_cs71_s00270_c104_voice_track.english.core.stream
sq_cs71_s00270,resolved,1,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c101/wav/english/windows/sq_cs71_s00270_c101_voice_track.english.core.stream
sq_cs71_s00270,resolved,2,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c102/wav/english/windows/sq_cs71_s00270_c102_voice_track.english.core.stream
sq_cs71_s00270,resolved,3,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c103/wav/english/windows/sq_cs71_s00270_c103_voice_track.english.core.stream
sq_cs71_s00270,resolved,4,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c201/wav/english/windows/sq_cs71_s00270_c201_voice_track.english.core.stream
sq_cs71_s00270,resolved,5,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c202/wav/english/windows/sq_cs71_s00270_c202_voice_track.english.core.stream
sq_cs71_s00270,resolved,6,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c203/wav/english/windows/sq_cs71_s00270_c203_voice_track.english.core.stream
sq_cs71_s00270,resolved,7,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c204/wav/english/windows/sq_cs71_s00270_c204_voice_track.english.core.stream
sq_cs71_s00270,resolved,8,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c301/wav/english/windows/sq_cs71_s00270_c301_voice_track.english.core.stream
sq_cs71_s00270,resolved,9,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c302/wav/english/windows/sq_cs71_s00270_c302_voice_track.english.core.stream
sq_cs71_s00270,resolved,10,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c303/wav/english/windows/sq_cs71_s00270_c303_voice_track.english.core.stream
sq_cs71_s00270,resolved,11,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c304/wav/english/windows/sq_cs71_s00270_c304_voice_track.english.core.stream
sq_cs71_s00270,resolved,12,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c401/wav/english/windows/sq_cs71_s00270_c401_voice_track.english.core.stream
sq_cs71_s00270,resolved,13,ds/sounds/wwise_cinematics_sound_resource/cs71/sq_cs71_s00270/c402/wav/english/windows/sq_cs71_s00270_c402_voice_track.english.core.stream
